NAME,NAME_EN,NAME_RU,OSM_ID,Amount of,Employees,revenue in,amount o_1,employee i,revenue _1
Eixample,,,"3008998",1433.000000000000000,9829.000000000000000,3082592061.642004013061523,225.000000000000000,3035.000000000000000,1219639220.134644508361816
les Corts,,,"3765619",378.000000000000000,4025.000000000000000,1434976258.638492345809937,104.000000000000000,2552.000000000000000,946077827.989873886108398
Sant Martí,,,"3775150",1086.000000000000000,8726.000000000000000,8748908639.692203521728516,178.000000000000000,3737.000000000000000,1289224312.703713893890381
Horta-Guinardó,,,"3773133",507.000000000000000,1302.000000000000000,176279516.279209226369858,50.000000000000000,402.000000000000000,102336419.217770516872406
Sant Andreu,,,"3775146",576.000000000000000,4816.000000000000000,1251684031.018595695495605,107.000000000000000,2425.000000000000000,854180054.927000164985657
Nou Barris,,,"3775065",368.000000000000000,784.000000000000000,75614129.986831307411194,35.000000000000000,83.000000000000000,7954004.548768161796033
Sants-Montjuïc,,,"3765489",662.000000000000000,8129.000000000000000,7164904580.528717041015625,108.000000000000000,4765.000000000000000,3224714282.416339397430420
Ciutat Vella,,,"3765380",450.000000000000000,2025.000000000000000,431462208.940841495990753,33.000000000000000,523.000000000000000,125924769.224971070885658
Sarrià - Sant Gervasi,,,"3772890",934.000000000000000,7826.000000000000000,8694078858.788406372070312,200.000000000000000,1908.000000000000000,742140610.638497471809387
Gràcia,,,"3773080",581.000000000000000,1572.000000000000000,202312288.658113151788712,65.000000000000000,509.000000000000000,99712486.250075086951256
Castellet i la Gornal,,,"339621",14.000000000000000,227.000000000000000,93312440.082000002264977,0.000000000000000,0.000000000000000,0.000000000000000
Castellbell i el Vilar,,,"339614",36.000000000000000,276.000000000000000,51364556.812602601945400,2.000000000000000,9.000000000000000,818962.628000000026077
Collsuspina,,,"339965",2.000000000000000,4.000000000000000,333018.397999999986496,0.000000000000000,0.000000000000000,0.000000000000000
Castellar del Vallès,,,"339616",295.000000000000000,3345.000000000000000,438338872.075393736362457,64.000000000000000,742.000000000000000,131576899.671903282403946
Castellbisbal,,,"339619",172.000000000000000,4313.000000000000000,2074263302.423333406448364,66.000000000000000,3048.000000000000000,1174153982.814020156860352
Santa Maria de Palautordera,,,"339515",80.000000000000000,399.000000000000000,50195596.892818592488766,14.000000000000000,118.000000000000000,19284263.783294484019279
Santa Margarida de Montbui,,,"339492",31.000000000000000,55.000000000000000,12290940.625583237037063,0.000000000000000,0.000000000000000,0.000000000000000
l'Esquirol,,,"339488",19.000000000000000,62.000000000000000,9950342.275557197630405,1.000000000000000,16.000000000000000,3115647.970000000204891
Santa Maria de Merlès,,,"339489",2.000000000000000,5.000000000000000,528599.682000000029802,0.000000000000000,0.000000000000000,0.000000000000000
Santa Margarida i els Monjos,,,"339493",77.000000000000000,2229.000000000000000,615809621.578528523445129,20.000000000000000,1610.000000000000000,371457887.966486513614655
Santa Maria d'Oló,,,"339509",6.000000000000000,26.000000000000000,1450907.480999999912456,0.000000000000000,0.000000000000000,0.000000000000000
Esparreguera,,,"339971",171.000000000000000,1312.000000000000000,327577317.314728081226349,20.000000000000000,567.000000000000000,175400943.731791406869888
Castelldefels,,,"339617",203.000000000000000,712.000000000000000,122518999.103697344660759,36.000000000000000,310.000000000000000,76328757.053589746356010
Castellfollit del Boix,,,"339622",5.000000000000000,7.000000000000000,856371.489999998942949,0.000000000000000,0.000000000000000,0.000000000000000
Castellar de n'Hug,,,"339613",1.000000000000000,1.000000000000000,66189.506999999997788,0.000000000000000,0.000000000000000,0.000000000000000
l'Espunyola,,,"339963",4.000000000000000,4.000000000000000,246313.824000000022352,0.000000000000000,0.000000000000000,0.000000000000000
l'Estany,,,"339964",3.000000000000000,3.000000000000000,173934.809999999997672,0.000000000000000,0.000000000000000,0.000000000000000
Castellcir,,,"339620",6.000000000000000,41.000000000000000,2169516.338834989815950,1.000000000000000,2.000000000000000,152724.575778033002280
Rajadell,,,"339862",2.000000000000000,5.000000000000000,260000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Copons,,,"339966",3.000000000000000,22.000000000000000,128547.543999999994412,0.000000000000000,0.000000000000000,0.000000000000000
Santa Maria de Martorelles,,,"339490",6.000000000000000,9.000000000000000,432618.061669736052863,0.000000000000000,0.000000000000000,0.000000000000000
Corbera de Llobregat,,,"339967",58.000000000000000,210.000000000000000,19923363.878169994801283,6.000000000000000,93.000000000000000,12819760.264000000432134
Montmeló,,,"340375",112.000000000000000,1491.000000000000000,512117834.773772299289703,25.000000000000000,668.000000000000000,359648423.850229561328888
Cubelles,,Кубельес,"339969",67.000000000000000,181.000000000000000,17314044.013202607631683,6.000000000000000,7.000000000000000,637635.309564510942437
Cornellà de Llobregat,,,"339968",383.000000000000000,4335.000000000000000,1046822090.476305246353149,61.000000000000000,1585.000000000000000,339314970.627588689327240
Esplugues de Llobregat,,,"339972",245.000000000000000,1211.000000000000000,1883846702.695740461349487,43.000000000000000,261.000000000000000,130164244.292421787977219
Dosrius,,,"339970",67.000000000000000,509.000000000000000,88334221.762762472033501,11.000000000000000,140.000000000000000,26158140.815383963286877
Montesquiu,,,"340379",7.000000000000000,50.000000000000000,22422254.249793116003275,2.000000000000000,2.000000000000000,83185.483999999996740
Montmaneu,,,"340381",2.000000000000000,3.000000000000000,86469.039999999993597,0.000000000000000,0.000000000000000,0.000000000000000
Montseny,,,"340377",2.000000000000000,3.000000000000000,132379.013999999995576,0.000000000000000,0.000000000000000,0.000000000000000
